Rank,Player Name,Team,Pos,GP,MIN,Position Group,PTS,PTS_Grade,FG%,FG%_Grade,FT%,FT%_Grade,3P%,3P%_Grade,REB,REB_Grade,AST,AST_Grade,STL,STL_Grade,BLK,BLK_Grade,OVR_Grade
1636,Mike Sharavjamts,Utah,G,29,22.2,G,7.3,76,42.9,81,63.9,71,33.7,81,3.3,82,2.8,86,0.7,76,0.7,99,81
1637,Seth Hubbard,Toledo,G,29,20.1,G,7.3,76,35.3,69,84.6,88,18.8,62,2.6,77,1.4,76,0.7,76,0.2,80,75
1638,Quentin Bolton,Arkansas-Pine Bluff,G,29,17.9,G,7.3,76,50.7,94,73.0,78,42.7,92,3.9,86,0.3,67,0.7,76,0.3,84,81
1639,Ethan Potter,Utah Valley,F,23,17.2,F,7.3,79,60.2,91,82.8,92,33.3,85,4.3,80,0.7,76,0.3,72,0.5,78,81
1640,Love Bettis,Northwestern State,G,30,19.8,G,7.3,76,37.6,73,82.1,86,26.6,72,1.3,68,2.1,81,0.9,80,0.0,71,75
1641,George Marshall,Morehead State,G,30,19.5,G,7.3,76,36.5,71,83.3,87,29.3,75,3.2,81,0.6,70,0.7,76,0.3,84,77
1642,Chandler Baker,Colgate,G,31,19.7,G,7.3,76,43.8,83,91.7,94,38.8,87,1.8,72,0.9,72,0.5,71,0.1,75,78
1643,Jackson Holt,Eastern Kentucky,G,31,19.8,G,7.3,76,39.0,75,93.3,95,39.7,88,1.7,71,0.9,72,0.8,78,0.0,71,78
1644,Joshua Hughes,Evansville,F,31,29.5,F,7.3,79,37.1,66,71.7,84,23.5,79,5.1,83,0.7,76,1.0,91,1.1,90,81
1645,Arturo Dean,Oklahoma State,G,28,23.6,G,7.3,76,39.5,76,68.4,74,29.3,75,2.8,78,3.1,88,2.3,99,0.0,71,79
1646,Brian Amuneke,Fresno State,G,26,19.6,G,7.3,76,44.8,84,66.7,73,42.0,91,2.3,75,0.4,68,0.7,76,0.0,71,76
1647,Dylan Andrews,UCLA,G,27,24.9,G,7.3,76,38.9,75,72.2,78,32.6,79,1.7,71,3.2,89,0.6,74,0.0,71,76
1648,Mark Butler,Lafayette,G,27,29.7,G,7.3,76,43.4,82,78.4,83,11.1,60,3.2,81,3.0,88,0.8,78,0.0,71,77
1649,Cian Medley,Kent State,G,28,26.7,G,7.3,76,34.0,67,78.3,83,25.3,70,2.3,75,4.0,95,0.9,80,0.1,75,77
1650,Kobe Newton,Wyoming,G,28,23.3,G,7.3,76,40.4,77,91.9,94,36.4,84,1.9,72,1.4,76,0.4,69,0.0,71,77
1651,Troy McKoy Jr.,Chicago State,G,24,19.5,G,7.3,76,34.8,68,80.0,84,25.8,71,2.5,76,0.6,70,0.8,78,0.6,97,77
1652,Flash Burton,Rider,G,29,21.9,G,7.2,76,39.4,76,67.8,74,23.1,68,2.3,75,2.2,82,1.0,82,0.3,84,77
1653,Kasen Jennings,San Francisco,G,30,25.2,G,7.2,76,36.6,71,72.4,78,32.7,79,2.0,73,1.9,79,0.6,74,0.0,71,75
1654,Tamaury Releford,West Georgia,C,30,15.7,C,7.2,81,57.1,79,66.0,84,0.0,73,4.5,79,0.2,71,0.5,83,0.6,75,78
1655,Morez Johnson Jr.,Illinois,F,26,17.8,F,7.2,79,66.7,98,61.9,77,0.0,66,6.6,91,0.2,69,0.4,74,1.1,90,80
1656,Lyndel Erold,Brown,G,26,22.8,G,7.2,76,40.1,77,69.4,75,31.1,77,4.1,87,1.0,73,0.7,76,0.4,89,78
1657,Josiah Lake II,Oregon State,G,31,23.4,G,7.2,76,50.8,94,92.0,94,39.7,88,3.3,82,2.1,81,1.0,82,0.1,75,84
1658,Denzel Hines,Coastal Carolina,F,31,23.2,F,7.2,79,43.3,72,70.6,83,24.4,80,6.2,89,1.3,84,0.2,69,0.1,69,78
1659,K.D. Johnson,George Mason,G,28,21.5,G,7.2,76,41.2,79,69.7,76,38.9,87,2.8,78,2.5,84,1.2,86,0.0,71,79
1660,Klemen Vuga,Arkansas-Pine Bluff,F,28,17.3,F,7.2,79,45.0,74,61.9,77,4.8,68,3.5,76,0.9,78,0.6,80,0.2,71,75
1661,Trent Pierce,Missouri,G,28,17.5,G,7.2,76,47.3,89,58.9,66,32.2,79,3.4,83,1.0,73,0.7,76,0.2,80,77
1662,Brandon Huntley-Hatfield,NC State,F,24,19.8,F,7.2,79,48.8,78,80.3,90,33.3,85,4.9,82,1.0,80,0.5,77,0.4,76,80
1663,Rollie Worster,Nebraska,G,29,25.2,G,7.2,76,43.9,83,71.0,77,21.3,65,4.0,87,2.6,85,0.9,80,0.2,80,79
1664,James Scott,Louisville,F,29,23.0,F,7.2,79,75.2,99,41.9,62,16.7,75,6.4,90,1.4,85,0.7,82,0.9,86,82
1665,Dion Brown,Boston College,G,29,25.3,G,7.2,76,44.3,84,76.0,81,34.6,82,3.9,86,1.5,76,0.6,74,0.0,71,78
1666,Ashton Williamson,FIU,G,29,23.9,G,7.2,76,42.5,81,61.5,69,35.4,83,2.3,75,2.7,85,1.6,94,0.2,80,80
1667,Shemar Rathan-Mayes,Mercer,G,30,29.7,G,7.2,76,35.1,69,79.6,84,24.6,69,2.9,79,4.0,95,0.9,80,0.1,75,78
1668,Carl Parrish,Presbyterian,G,30,18.7,G,7.2,76,48.3,90,92.1,94,40.7,89,2.1,74,0.8,71,0.4,69,0.1,75,79
1669,Hercy Miller,Southern Utah,G,26,17.0,G,7.2,76,39.3,75,76.5,81,33.3,80,2.8,78,1.0,73,0.4,69,0.2,80,76
1670,Duane Posey,Texas Southern,G,26,15.6,G,7.2,76,57.5,99,67.1,73,0.0,60,4.2,88,0.7,70,0.6,74,0.3,84,78
1671,David Fuchs,Rhode Island,F,26,20.2,F,7.2,79,59.0,90,60.6,76,23.1,79,7.6,95,0.8,77,0.6,80,0.4,76,81
1672,Jabri Abdur-Rahim,Providence,G,22,16.2,G,7.2,76,37.6,73,87.5,91,36.6,84,2.6,77,0.6,70,0.4,69,0.2,80,77
1673,Ray Glasgow,Tennessee Tech,G,28,14.8,G,7.2,76,39.0,75,74.5,80,32.9,80,3.3,82,1.1,73,0.4,69,0.1,75,76
1674,Jhaylon Martinez,Niagara,C,29,21.2,C,7.2,81,54.5,76,76.6,91,21.4,83,5.3,82,0.8,79,0.2,73,0.4,72,79
1675,Trevor Baskin,Colorado,F,29,19.0,F,7.2,79,50.0,80,65.6,80,21.7,78,4.6,81,1.9,92,1.0,91,0.6,80,82
1676,Joshua Ola-Joseph,California,F,24,17.6,F,7.2,79,45.2,74,67.5,81,36.5,87,3.8,77,0.3,70,0.5,77,0.2,71,77
1677,Kheni Briggs,Albany,G,30,17.8,G,7.2,76,37.3,72,81.3,85,33.3,80,2.3,75,0.9,72,0.9,80,0.1,75,76
1678,Jamil Miller,Kennesaw State,G,30,24.9,G,7.2,76,48.1,90,53.4,62,29.1,75,5.0,94,0.6,70,0.7,76,0.5,93,79
1679,Tomiwa Sulaiman,Towson,F,31,19.6,F,7.2,79,39.7,68,78.4,89,34.1,85,3.9,78,0.8,77,1.1,93,0.5,78,80
1680,Latrell Jossell,North Texas,G,27,22.4,G,7.1,76,33.7,66,75.7,81,30.7,77,1.3,68,1.7,78,1.2,86,0.0,71,75
1681,Jeremiah Williams,Rutgers,G,28,23.6,G,7.1,76,45.7,86,67.2,73,31.0,77,3.0,80,1.9,79,1.3,88,0.2,80,79
1682,Jacob Cofie,Virginia,F,29,20.9,F,7.1,79,48.2,78,77.1,88,25.0,80,4.7,81,1.1,81,1.1,93,0.8,84,83
1683,Joshua Ingram,Lehigh,G,29,25.9,G,7.1,76,44.7,84,72.9,78,35.7,83,3.7,85,1.5,76,1.0,82,0.5,93,82
1684,Cayden Vasko,Central Michigan,G,29,31.9,G,7.1,76,38.7,75,88.0,91,37.3,85,4.8,92,2.7,85,1.0,82,0.4,89,84
1685,Peyton Smith,Fairfield,F,29,18.0,F,7.1,79,46.1,75,76.0,87,20.0,77,3.8,77,0.6,74,0.6,80,0.8,84,79
1686,Cam Manyawu,Drake,F,30,18.2,F,7.1,79,57.5,88,50.0,68,0.0,66,5.4,85,0.8,77,1.3,99,0.7,82,80
1687,Keeyan Itejere,Northern Kentucky,F,31,27.4,F,7.1,79,57.7,88,56.9,73,0.0,66,5.5,85,0.7,76,0.6,80,1.7,99,80
1688,Brendan Wenzel,TCU,G,26,23.4,G,7.1,76,35.3,69,70.6,76,32.8,79,2.6,77,0.8,71,0.7,76,0.1,75,74
1689,Kenyon Goodin,Bellarmine,G,27,22.1,G,7.1,76,47.9,90,81.0,85,48.3,98,3.4,83,1.7,78,0.9,80,0.1,75,83
1690,Emmanuel Kuac,Detroit Mercy,G,28,20.8,G,7.1,76,36.8,71,78.7,83,27.7,73,4.0,87,0.9,72,0.5,71,0.5,93,78
1691,Samson Johnson,Connecticut,C,28,18.6,C,7.1,80,76.4,99,77.5,92,0.0,73,3.0,73,1.1,82,0.7,90,1.5,89,84
1692,Cameron Matthews,Mississippi State,F,29,28.9,F,7.1,79,51.3,81,50.6,69,25.0,80,6.8,92,3.7,99,2.5,99,0.7,82,85
1693,Giovanni Emejuru,George Mason,F,29,17.7,F,7.1,79,68.4,99,58.1,74,0.0,66,4.3,80,0.2,69,0.5,77,0.6,80,78
1694,James Okonkwo,Akron,F,29,18.6,F,7.1,79,58.4,89,70.6,83,0.0,66,7.5,95,0.4,72,0.4,74,1.0,88,80
1695,Jackson McAndrew,Creighton,F,29,19.8,F,7.1,79,37.8,66,65.4,79,33.3,85,4.2,79,0.3,70,0.3,72,0.1,69,74
1696,Jaden Clayton,Maine,G,30,32.3,G,7.1,76,42.3,80,80.0,84,30.9,77,3.3,82,4.6,99,1.7,97,0.1,75,83
1697,Shane Blakeney,Drexel,G,31,24.6,G,7.1,76,37.0,72,70.0,76,30.7,77,3.7,85,1.6,77,0.7,76,0.6,97,79
1698,Khali Horton,Coppin State,F,26,23.3,F,7.1,79,32.0,60,62.2,77,24.8,80,2.3,70,0.8,77,0.6,80,0.3,74,74
1699,Cody Pennebaker,Lamar,G,27,28.5,G,7.1,76,42.7,81,50.0,60,30.2,76,4.3,89,1.9,79,1.1,84,0.3,84,78
1700,Noah Batchelor,Buffalo,F,28,29.6,F,7.1,79,34.3,63,73.2,85,29.9,83,6.0,88,1.3,84,0.9,88,0.3,74,80
1701,Kalil Camara,Bethune-Cookman,F,28,22.5,F,7.1,79,42.7,72,78.3,89,34.3,85,3.8,77,0.9,78,1.1,93,0.2,71,80
1702,Darin Smith Jr.,Central Connecticut,F,28,17.9,F,7.1,79,51.4,81,75.0,86,45.2,92,3.0,73,0.3,70,0.5,77,0.2,71,78
1703,Hank Alvey,Lehigh,F,28,25.0,F,7.1,79,46.6,76,76.3,87,14.3,74,4.7,81,0.9,78,0.6,80,0.6,80,79
1704,Kohen Rowbatham,New Orleans,G,28,18.6,G,7.1,76,38.5,74,76.7,81,27.5,73,1.2,67,1.3,75,0.4,69,0.0,71,73
1705,Clifford Omoruyi,Alabama,C,29,19.1,C,7.1,80,72.3,97,66.2,84,0.0,73,6.8,88,0.8,79,0.2,73,1.1,83,82
1706,Ken Evans Jr.,Florida Atlantic,G,29,27.3,G,7.1,76,35.8,70,76.3,81,34.2,81,2.7,78,2.0,80,1.2,86,0.1,75,78
1707,Will Tschetter,Michigan,F,29,15.8,F,7.1,79,52.5,82,85.3,94,39.0,88,2.3,70,0.7,76,0.2,69,0.1,69,78
1708,Javier Ezquerra,Wagner,G,29,34.3,G,7.1,76,33.3,66,72.0,77,30.4,77,3.6,84,4.6,99,1.2,86,0.0,71,79
1709,Kalu Anya,Saint Louis,F,29,28.7,F,7.1,79,60.4,91,31.9,60,12.5,73,8.4,99,2.5,99,1.2,96,1.0,88,85
1710,Tom Beattie,Hawaii,G,29,25.6,G,7.1,76,44.5,84,71.4,77,24.4,69,2.3,75,1.7,78,0.4,69,0.1,75,75
1711,Micah Simpson,Alabama State,G,29,18.1,G,7.1,76,35.8,70,83.3,87,32.8,79,1.7,71,1.2,74,0.7,76,0.1,75,76
1712,Demetrius Davis,UNC Greensboro,F,31,19.7,F,7.1,79,41.4,70,75.0,86,28.7,82,3.5,76,1.5,86,0.6,80,0.5,78,79
1713,Matt Mayock,American,F,31,24.8,F,7.1,79,38.0,67,85.4,94,33.0,85,2.3,70,1.4,85,0.5,77,0.4,76,79
1714,Isaac Celiscar,Yale,F,26,20.3,F,7.0,79,51.9,82,77.4,88,28.6,82,5.4,85,1.6,88,0.6,80,0.3,74,82
1715,Ernest Udeh Jr.,TCU,C,27,26.6,C,7.0,80,63.6,87,61.4,80,0.0,73,7.5,91,1.2,84,1.4,99,1.3,86,85
1716,Kyle Brown,Arkansas-Pine Bluff,F,27,18.9,F,7.0,79,47.4,77,74.4,86,25.0,80,3.2,74,1.0,80,0.4,74,0.3,74,78
1717,Fred Payne,Boston College,G,28,18.2,G,7.0,76,37.6,73,88.0,91,34.9,82,2.5,76,1.3,75,0.8,78,0.0,71,77
1718,Xavier Lipscomb,Mount St. Mary's,G,29,33.0,G,7.0,76,35.0,68,74.7,80,34.8,82,3.9,86,4.3,97,0.9,80,0.1,75,80
1719,RJ Godfrey,Georgia,F,29,20.2,F,7.0,79,54.1,84,64.7,79,0.0,66,4.1,79,1.0,80,0.6,80,0.6,80,78
1720,Mike Walz,Richmond,C,29,21.5,C,7.0,80,48.4,69,80.0,94,46.2,94,5.7,84,2.5,99,0.3,76,0.6,75,83
1721,CJ Brown,San Francisco,G,29,22.2,G,7.0,76,46.1,87,77.3,82,22.2,67,2.2,74,2.5,84,1.3,88,0.6,97,81
1722,Ethan Brittain-Watts,Ball State,G,29,26.3,G,7.0,76,40.0,77,83.8,87,36.0,83,2.0,73,2.0,80,0.4,69,0.0,71,77
1723,Rylan Griffen,Kansas,G,28,20.5,G,7.0,76,40.7,78,69.4,75,36.8,84,2.3,75,1.5,76,0.3,67,0.3,84,76
1724,Petar Krivokapic,Pacific,G,32,26.5,G,7.0,76,34.4,67,73.8,79,32.5,79,3.0,80,1.1,73,0.3,67,0.1,75,74
1725,Melvyn Ebonkoli,Kansas City,C,31,25.9,C,7.0,80,51.4,72,50.0,72,0.0,73,5.2,82,0.7,77,0.3,76,0.6,75,75
1726,Jonnivius Smith,UTSA,F,27,24.1,F,7.0,79,50.4,80,68.4,82,53.3,96,7.6,95,0.8,77,1.1,93,1.5,99,87
1727,Zion Russell,Niagara,G,28,21.9,G,7.0,76,49.3,92,82.1,86,37.5,85,2.1,74,1.9,79,0.7,76,0.3,84,81
1728,Romad Dean,Fordham,F,29,26.2,F,7.0,79,44.0,73,68.6,82,33.7,85,5.8,87,0.8,77,0.6,80,0.4,76,79
1729,Louis Bleechmore,Fairfield,G,29,25.8,G,7.0,76,39.8,76,68.1,74,36.5,84,3.7,85,1.1,73,0.2,65,0.2,80,76
1730,Logan Woods,Wright State,G,30,23.5,G,7.0,76,48.4,90,78.9,83,46.4,96,2.1,74,1.7,78,0.6,74,0.2,80,81
1731,Kody Williams,Hawaii,G,26,23.6,G,7.0,76,36.6,71,82.9,87,37.5,85,2.1,74,1.7,78,0.4,69,0.2,80,77
1732,Tyson Brown,Georgia Southern,F,31,21.2,F,7.0,79,62.9,94,46.8,66,0.0,66,6.6,91,0.9,78,0.7,82,1.1,90,80
1733,Keith Richard,Cal State Fullerton,G,28,21.5,G,7.0,76,35.3,69,76.8,81,26.9,72,1.8,72,1.3,75,0.8,78,0.1,75,74
1734,D'Aundre Samuels,Houston Christian,G,30,16.3,G,7.0,76,42.1,80,66.7,73,36.7,84,2.8,78,1.5,76,0.8,78,0.3,84,78
1735,Ethan Meuser,St. Thomas,F,30,21.0,F,7.0,79,40.8,70,68.6,82,39.4,88,3.8,77,1.8,90,0.9,88,0.8,84,82
1736,LJ Wells,Northern Kentucky,F,30,21.4,F,7.0,79,48.0,78,58.7,74,20.7,77,5.0,83,1.1,81,0.8,85,0.3,74,78
1737,Darius Ford,Alabama A&M,G,29,18.9,G,7.0,76,34.4,67,78.2,83,28.7,74,1.9,72,2.3,82,1.2,86,0.0,71,76
1738,Jalil Bethea,Miami (FL),G,29,18.7,G,7.0,76,36.2,70,80.9,85,31.8,78,2.1,74,1.2,74,0.6,74,0.1,75,75
1739,Amael L'Etang,Dayton,F,29,16.6,F,7.0,79,50.3,80,62.7,77,30.2,83,4.5,80,1.1,81,0.5,77,0.9,86,80
1740,Drew Fielder,Georgetown,F,28,22.5,F,7.0,79,48.7,78,72.1,84,28.1,82,5.1,83,0.8,77,0.4,74,0.5,78,79
1741,Jerry Deng,Florida State,F,28,15.1,F,7.0,79,44.1,73,71.0,83,37.9,87,1.9,68,0.5,73,0.4,74,0.3,74,76
1742,Kyrell Shaw,Maryland Eastern Shore,G,27,19.7,G,7.0,76,37.2,72,78.3,83,32.3,79,2.5,76,1.3,75,0.6,74,0.0,71,75
1743,Sadraque NgaNga,San Jose State,F,24,15.4,F,7.0,79,50.8,81,54.8,72,38.3,88,3.6,76,0.5,73,0.3,72,0.0,67,76
1744,DJ Campbell,California,G,23,24.5,G,7.0,76,35.0,68,73.3,79,23.6,68,2.1,74,1.7,78,0.9,80,0.1,75,74
1745,Kamryn Thomas,Omaha,F,31,24.8,F,6.9,78,45.5,75,78.4,89,39.5,88,4.0,78,1.2,82,0.5,77,0.5,78,80
1746,Jaiden Feroah,Holy Cross,F,31,24.6,F,6.9,78,51.3,81,85.7,94,40.3,89,5.7,86,1.1,81,0.7,82,0.9,86,84
1747,Dra Gibbs-Lawhorn,Illinois,G,30,16.4,G,6.9,75,45.0,85,80.6,85,26.0,71,1.8,72,0.6,70,0.4,69,0.1,75,75
1748,Mouhamed Dioubate,Alabama,F,29,15.4,F,6.9,78,60.2,91,63.0,78,36.8,87,5.8,87,1.2,82,0.9,88,0.7,82,84
1749,Kareem Rozier,Duquesne,G,29,27.2,G,6.9,75,33.3,66,71.7,77,31.1,77,2.0,73,3.4,91,1.2,86,0.0,71,77
1750,Rory Stewart,Florida Gulf Coast,F,29,19.7,F,6.9,78,44.0,73,100.0,99,41.0,89,2.9,73,0.6,74,0.2,69,0.2,71,78
1751,Diego Campisano,Northern Arizona,F,27,16.3,F,6.9,78,44.2,73,85.7,94,38.4,88,2.3,70,0.6,74,0.2,69,0.0,67,76
1752,Shaqir O'Neal,Florida A&M,F,25,18.1,F,6.9,78,49.6,79,65.3,79,41.5,89,3.3,75,0.8,77,0.5,77,0.6,80,79
1753,Derrick Tezeno,Southern,F,25,19.6,F,6.9,78,53.4,83,65.0,79,44.4,91,4.2,79,0.5,73,0.8,85,0.2,71,79
1754,Jonathan Beagle,Richmond,F,30,15.8,F,6.9,78,55.2,85,70.0,83,42.9,90,3.6,76,1.6,88,0.2,69,0.4,76,80
1755,Anouar Mellouk,Morehead State,F,29,21.0,F,6.9,78,52.8,83,57.1,73,20.0,77,4.1,79,0.6,74,0.4,74,0.4,76,76
1756,Griffin Barrouk,Sacred Heart,G,29,23.0,G,6.9,75,37.8,73,77.3,82,35.8,83,2.9,79,0.9,72,0.4,69,0.1,75,76
1757,Harry Rouhliadeff,Hawaii,F,29,19.2,F,6.9,78,46.9,76,75.4,87,34.6,85,3.9,78,0.7,76,0.2,69,0.1,69,77
1758,Tyler Johnson,Virginia Tech,G,29,25.0,G,6.9,75,46.8,88,73.2,78,34.9,82,4.9,93,1.0,73,0.6,74,0.2,80,80
1759,Dionte Bostick,New Mexico State,G,28,23.5,G,6.9,75,39.3,75,56.8,65,25.9,71,3.4,83,1.8,79,1.2,86,0.1,75,76
1760,Wes Peterson Jr.,Binghamton,G,27,25.6,G,6.9,75,51.6,96,72.1,78,36.8,84,2.7,78,1.5,76,0.8,78,0.0,71,79
1761,Chandler Jackson,Florida State,G,26,25.0,G,6.9,75,43.8,83,72.2,78,16.7,60,2.1,74,2.1,81,1.3,88,0.2,80,77
1762,Eddie Ricks III,James Madison,F,31,26.1,F,6.9,78,46.8,76,72.5,85,32.0,84,4.7,81,0.9,78,0.6,80,0.7,82,80
1763,Malachi Poindexter,Illinois State,G,30,21.7,G,6.9,75,44.2,83,78.4,83,38.6,87,1.8,72,1.2,74,0.3,67,0.1,75,77
1764,Justin Rochelin,UC San Diego,G,30,19.4,G,6.9,75,45.5,86,68.8,75,34.3,81,3.4,83,0.8,71,0.6,74,0.3,84,78
1765,Michael Ajayi,Gonzaga,G,30,19.9,G,6.9,75,45.6,86,70.3,76,19.5,63,5.5,97,0.8,71,0.8,78,0.3,84,78
1766,Femi Odukale,Minnesota,G,29,29.6,G,6.9,75,44.2,83,53.1,62,31.0,77,4.5,90,3.6,92,1.4,90,1.2,99,83
1767,Kamari McGee,Wisconsin,G,29,21.8,G,6.9,75,49.0,91,84.4,88,50.0,99,2.6,77,2.0,80,0.9,80,0.0,71,82
1768,Kam Burton,Southeastern Louisiana,G,29,17.2,G,6.9,75,38.2,74,76.0,81,34.8,82,2.1,74,0.1,66,0.5,71,0.1,75,74
1769,Kobe Johnson,Saint Louis,G,26,30.4,G,6.8,75,57.3,99,86.7,90,41.1,90,3.4,83,1.8,79,0.7,76,0.4,89,85
1770,Dallin Hall,BYU,G,25,24.9,G,6.8,75,41.0,78,66.7,73,35.4,83,2.4,76,4.2,97,0.8,78,0.1,75,79
1771,Azmar Abdullah,Boston University,G,31,17.8,G,6.8,75,37.8,73,77.6,82,38.0,86,1.5,69,0.8,71,0.5,71,0.0,71,74
1772,Colin Granger,Coastal Carolina,C,30,17.4,C,6.8,80,57.4,80,61.8,81,100.0,99,4.4,78,0.6,76,0.2,73,0.2,69,79
1773,Tom House,Furman,G,30,18.1,G,6.8,75,42.0,80,66.7,73,39.5,88,2.7,78,1.4,76,0.4,69,0.1,75,76
1774,Marcus Rigsby Jr.,Troy,G,30,21.4,G,6.8,75,36.8,71,62.9,70,30.4,77,2.7,78,1.7,78,0.8,78,0.4,89,77
1775,Solomon Callaghan,Wright State,G,30,22.6,G,6.8,75,41.2,79,78.9,83,39.8,88,1.4,69,1.1,73,0.4,69,0.1,75,76
1776,Landon Wolf,Illinois State,G,31,22.5,G,6.8,75,46.1,87,67.7,74,37.5,85,3.3,82,0.8,71,0.7,76,0.1,75,78
1777,Bryce Baker,Winthrop,G,31,18.9,G,6.8,75,39.6,76,66.7,73,37.7,85,3.2,81,0.7,70,0.7,76,0.2,80,77
1778,Gabe Dynes,Youngstown State,C,31,21.7,C,6.8,80,68.7,93,43.5,67,0.0,73,5.7,84,0.5,75,0.3,76,3.1,99,80
1779,Cole Farrell,Portland State,G,29,18.7,G,6.8,75,44.6,84,57.1,65,40.4,89,2.1,74,0.9,72,0.7,76,0.2,80,76
1780,Jack Daugherty,Illinois State,F,29,11.6,F,6.8,78,50.0,80,53.8,71,50.0,94,1.7,67,0.3,70,0.2,69,0.0,67,74
1781,Jeremy Fears Jr.,Michigan State,G,28,23.3,G,6.8,75,39.3,75,74.2,79,39.3,87,2.0,73,5.6,99,1.0,82,0.2,80,81
1782,Kylan Blackmon,Charlotte,G,28,25.5,G,6.8,75,35.7,70,77.8,82,28.6,74,2.5,76,0.9,72,0.7,76,0.0,71,74
1783,Ty Pence,Illinois State,G,31,23.0,G,6.8,75,49.0,91,83.0,87,34.3,81,3.9,86,1.4,76,0.7,76,0.1,75,80
1784,KyeRon Lindsay,Murray State,F,30,15.6,F,6.8,78,51.5,81,71.7,84,0.0,66,4.4,80,0.5,73,0.8,85,0.9,86,79
1785,Dan Gherezgher Jr.,Northern Kentucky,G,30,19.8,G,6.8,75,40.5,77,65.4,72,32.2,79,1.6,70,1.8,79,0.5,71,0.0,71,74
1786,Niccolo Moretti,Florida Atlantic,G,29,22.3,G,6.8,75,43.1,82,79.2,84,36.7,84,2.5,76,3.4,91,0.9,80,0.1,75,80
1787,Angelo Brizzi,Longwood,G,31,21.5,G,6.7,75,43.1,82,68.8,75,41.0,90,3.3,82,1.5,76,1.5,92,0.2,80,81
1788,Damarion Dennis,Texas A&M-Corpus Christi,G,31,18.0,G,6.7,75,47.6,89,79.4,84,38.2,86,1.8,72,1.3,75,0.8,78,0.4,89,81
1789,Jordan Wildy,Lincoln (PA),F,27,20.0,F,6.7,78,44.0,73,66.7,80,20.3,77,4.0,78,0.9,78,0.7,82,0.6,80,78
1790,Zach Bloch,Northern Colorado,G,30,27.2,G,6.7,75,38.2,74,76.9,82,36.9,85,1.8,72,1.2,74,0.7,76,0.2,80,77
1791,Vic Searls,Ohio,F,29,18.4,F,6.7,78,58.9,89,64.1,78,25.0,80,3.9,78,0.8,77,0.5,77,0.4,76,79
1792,Berke Buyuktuncel,Nebraska,F,25,24.2,F,6.7,78,41.2,70,67.7,81,28.8,82,5.8,87,1.3,84,1.0,91,0.8,84,82
1793,Mari Jordan,Tulane,G,28,19.8,G,6.7,75,37.0,72,82.9,87,33.3,80,3.5,83,0.8,71,0.7,76,0.3,84,78
1794,Akira Jacobs,Hawaii,F,28,18.2,F,6.7,78,42.3,71,76.5,87,32.6,84,2.5,71,0.5,73,0.1,66,0.1,69,74
1795,Ari Fulton,NJIT,G,28,28.2,G,6.7,75,41.0,78,65.0,72,27.0,72,5.4,96,0.9,72,0.4,69,0.6,97,78
1796,Xzavier Long,Hampton,F,31,26.2,F,6.7,78,48.0,78,61.9,77,40.0,89,4.9,82,1.5,86,1.0,91,0.6,80,82
1797,Jalen Breath,UNC Greensboro,F,31,21.5,F,6.7,78,48.2,78,67.3,81,0.0,66,7.0,93,0.7,76,0.5,77,0.5,78,78
1798,Yohan Traore,SMU,F,26,17.0,F,6.7,78,48.7,78,69.0,82,33.3,85,3.7,77,0.5,73,0.2,69,0.2,71,76
1799,Nicholas Jourdain,Memphis,F,29,26.8,F,6.7,78,52.6,83,73.7,85,25.6,80,5.4,85,1.8,90,0.7,82,1.1,90,84
1800,Brandon Rechsteiner,Virginia Tech,G,29,22.0,G,6.7,75,36.8,71,81.8,86,29.8,76,1.1,67,3.0,88,0.6,74,0.0,71,76
1801,Evan Ipsaro,Miami (OH),G,29,20.0,G,6.7,75,51.4,95,81.8,86,44.2,93,1.8,72,2.7,85,0.9,80,0.1,75,82
1802,Josiah Hammons,Sam Houston,G,29,20.8,G,6.7,75,37.4,72,85.0,88,37.0,85,1.6,70,0.7,70,0.5,71,0.0,71,75
1803,Caleb Walker,Air Force,F,29,16.4,F,6.7,78,53.8,84,45.0,65,66.7,99,3.1,74,1.3,84,0.5,77,0.4,76,79
1804,Keller Boothby,William & Mary,F,31,26.1,F,6.7,78,42.2,71,73.3,85,36.0,86,3.2,74,1.1,81,0.7,82,0.1,69,78
1805,Torey Alston,Middle Tennessee,F,29,20.9,F,6.7,78,58.5,89,56.0,73,22.2,78,5.5,85,0.9,78,0.5,77,1.1,90,81
1806,Montavious Myrick,Eastern Kentucky,F,31,23.7,F,6.6,78,66.4,98,72.7,85,0.0,66,8.0,97,1.2,82,1.1,93,1.1,90,86
1807,AJ Burgin,Idaho State,G,28,15.8,G,6.6,75,35.8,70,86.7,90,35.9,83,2.4,76,1.2,74,0.4,69,0.0,71,76
1808,Keba Keita,BYU,C,28,20.1,C,6.6,79,66.7,91,40.9,66,0.0,73,7.5,91,0.9,80,0.6,86,0.9,80,80
1809,Josh Lee,Denver,G,30,20.8,G,6.6,75,48.3,90,75.0,80,40.0,88,2.9,79,1.0,73,1.1,84,0.1,75,80
1810,Justin Bieker,Utah Tech,G,29,25.0,G,6.6,75,37.5,73,82.4,86,33.7,81,2.7,78,1.8,79,0.8,78,0.2,80,78
1811,Chase Martin,Missouri State,G,31,23.1,G,6.6,75,38.5,74,69.1,75,23.8,68,2.0,73,1.0,73,0.7,76,0.4,89,75
